scenario,plasma_distance,plasma_passes,plasma_power,plasma_speed,pretreatment,loss,c1,macrorep,iteration,cumulative_max_loss,c1_cumulative_max_loss,best_row_number
6,7.541720488043116,13,419.4661351620204,215.08273429870155,dry_tissue,7.7909788812081935,1.0,1,92,7.800189973087522,1,88
6,7.753317145353027,13,417.7985161050071,220.9176841827629,dry_tissue,7.777859878390467,1.0,1,93,7.800189973087522,1,88
6,6.774204565612022,13,421.1585295354558,231.89896492318695,dry_tissue,7.808654092388243,1.0,1,94,7.808654092388243,1,94
6,6.79273128238726,11,420.7739401770538,221.67028388422557,compressed_air,7.6547103830806345,1.0,1,95,7.808654092388243,1,94
6,7.068538805752219,11,419.713293611246,246.7476298148688,US_bath,7.585881854080879,1.0,1,96,7.808654092388243,1,94
1,7.145385388811026,15,419.5972309193519,237.88397700668298,dry_tissue,4.7143578975934375,2.0,1,97,7.808654092388243,1,94
6,6.844309596744903,15,422.3342404175092,237.7451634421106,dry_tissue,7.814810074639821,1.0,1,98,7.814810074639821,1,98
6,6.801458795975858,13,422.52758119253394,238.30712405187458,dry_tissue,7.810262553209892,1.0,1,99,7.814810074639821,1,98
6,6.356790542248421,15,420.7794742106542,234.99051010014858,dry_tissue,7.816395931122647,1.0,1,100,7.816395931122647,1,100
6,6.687740402672559,13,421.18576107848145,234.61591471014833,dry_tissue,7.809133834560983,1.0,1,101,7.816395931122647,1,100
6,5.425063135792149,16,420.9865660937785,248.08904747533649,dry_tissue,7.822011290780474,2.0,1,102,7.816395931122647,1,100
6,7.0660506480320935,15,420.9131005228972,241.7738384849601,dry_tissue,7.8071826630541405,1.0,1,103,7.816395931122647,1,100
2,6.29439699232359,13,421.4970840883703,238.37141363496895,US_bath,4.7143578975934375,2.0,1,104,7.816395931122647,1,100
6,6.6341539615746425,15,422.3991136588798,238.74915089498103,dry_tissue,7.817705028061598,1.0,1,105,7.817705028061598,1,105
6,6.2306432461518435,15,419.8459187348808,238.10185589308773,dry_tissue,7.814823344088159,1.0,1,106,7.817705028061598,1,105
6,6.370990276122013,15,421.22824310930616,236.40450845732988,dry_tissue,7.8174183520945455,1.0,1,107,7.817705028061598,1,105
6,6.495214019946926,15,419.62083760925503,238.1839947571899,dry_tissue,7.81190003540194,1.0,1,108,7.817705028061598,1,105
5,6.398011527798637,15,422.2541028008461,233.1542824619278,dry_tissue,5.844241634220034,2.0,1,109,7.817705028061598,1,105
6,6.444075916906733,15,419.570476036289,233.65887339127022,dry_tissue,7.8124088272101275,1.0,1,110,7.817705028061598,1,105
6,6.305348752148557,15,422.44843043222556,237.97544011608431,dry_tissue,7.8210947556836885,1.0,1,111,7.8210947556836885,1,111
6,6.595082756827392,15,421.75275122731694,235.99263445935256,dry_tissue,7.816567920521731,1.0,1,112,7.8210947556836885,1,111
6,6.2938348813881335,15,423.5221669670276,239.2680996960473,dry_tissue,7.8238798919147845,1.0,1,113,7.8238798919147845,1,113
6,6.193437099608463,15,422.7900629073408,237.90722270525075,dry_tissue,7.822834106805318,1.0,1,114,7.8238798919147845,1,113
3,6.3328344874711595,15,423.96099222574827,238.21363819584806,dry_tissue,7.808583338939274,1.0,1,115,7.8238798919147845,1,113
6,6.236443930038717,15,422.8867521030953,237.44552178925457,dry_tissue,7.822777198311114,1.0,1,116,7.8238798919147845,1,113
6,5.8027823264819105,15,424.60078546297365,233.15645525682424,dry_tissue,7.829718545287255,2.0,1,117,7.8238798919147845,1,113
6,6.236375678354453,15,422.4555033809538,234.33854986412962,dry_tissue,7.821732467987953,1.0,1,118,7.8238798919147845,1,113
6,6.2900715400991345,15,421.9922569268584,235.86468319678772,dry_tissue,7.820101032514446,1.0,1,119,7.8238798919147845,1,113
6,6.107126756755949,15,425.355506698579,239.67657561574708,dry_tissue,7.829789988589678,1.0,1,120,7.829789988589678,1,120
1,6.101610749580671,15,422.0576706496709,236.6837071103481,dry_tissue,4.7143578975934375,2.0,1,121,7.829789988589678,1,120
6,6.062907836437674,15,425.13738805987094,240.91617184761128,dry_tissue,7.829487993424111,1.0,1,122,7.829789988589678,1,120
6,6.258137195596816,15,424.27220998805615,239.51160932996422,dry_tissue,7.826038136112874,1.0,1,123,7.829789988589678,1,120
6,5.988229512802447,15,423.9462383415158,236.83540178254606,compressed_air,7.6963448483594945,1.0,1,124,7.829789988589678,1,120
1,6.089167967121351,15,425.8816328574347,239.44156564336583,compressed_air,4.7143578975934375,2.0,1,125,7.829789988589678,1,120
6,6.209104535024789,15,424.9584453562072,236.55776377552564,degreasing,7.700800470230684,1.0,1,126,7.829789988589678,1,120
6,5.903602468288936,15,425.75098361746467,237.52352572733867,dry_tissue,7.832008001561862,2.0,1,127,7.829789988589678,1,120
6,6.149124950919266,15,425.63002792482337,238.00194887422012,dry_tissue,7.830224629725505,1.0,1,128,7.830224629725505,1,128
6,6.045016696763374,15,424.81839414880585,239.0205203485334,dry_tissue,7.8288859728233815,1.0,1,129,7.830224629725505,1,128
6,6.094021800310303,15,423.54420766316616,235.8769810236276,dry_tissue,7.8254753613338774,1.0,1,130,7.830224629725505,1,128
6,5.877856227314468,15,426.5894198896035,235.9651570386173,dry_tissue,7.834167063383485,2.0,1,131,7.830224629725505,1,128
6,6.062103884667127,15,426.0655102230194,237.3424720265483,US_bath,7.66999708171498,1.0,1,132,7.830224629725505,1,128
6,5.8657337156061296,15,424.10032835337944,239.844970784505,dry_tissue,7.828068130740348,2.0,1,133,7.830224629725505,1,128
6,6.143642922676641,15,425.3523219766307,239.4340280460705,dry_tissue,7.829545740067289,1.0,1,134,7.830224629725505,1,128
6,5.990441502356481,15,424.63920372255484,236.1411460153592,US_bath,7.665530000431344,1.0,1,135,7.830224629725505,1,128
6,5.986907358601987,15,426.7209204996587,235.9728384474118,dry_tissue,7.833887386343497,1.0,1,136,7.833887386343497,1,136
6,5.944848745430344,15,425.22076421386214,237.60339573833232,dry_tissue,7.830494681430961,1.0,1,137,7.833887386343497,1,136
6,5.841375281412263,15,425.2072938394062,238.84332129283644,dry_tissue,7.830968728447423,2.0,1,138,7.833887386343497,1,136
6,5.936710235418969,15,426.6634387545871,238.4229939663641,dry_tissue,7.834005586076689,1.0,1,139,7.834005586076689,1,139
6,5.841737441840558,15,429.0827472744418,236.27170537505899,dry_tissue,7.840132197904142,2.0,1,140,7.834005586076689,1,139
2,5.752223305519046,15,428.1672853106541,237.05974135205489,dry_tissue,5.737040080620966,2.0,1,141,7.834005586076689,1,139
6,5.8038069544874125,15,425.39165014102565,238.71507747278733,dry_tissue,7.831604166453805,2.0,1,142,7.834005586076689,1,139
6,6.013597482164196,15,428.28838955157676,238.57645773395816,dry_tissue,7.837378857415175,1.0,1,143,7.837378857415175,1,143
6,5.9340584896221324,15,427.6491008933605,235.4616371176424,dry_tissue,7.836360575061729,2.0,1,144,7.837378857415175,1,143
6,5.941015353761927,14,428.5045495165851,238.1982872110524,dry_tissue,7.8370915639935435,1.0,1,145,7.837378857415175,1,143
6,5.944700109093093,15,428.8827623617673,235.28633234550696,dry_tissue,7.8391342403060476,1.0,1,146,7.8391342403060476,1,146
6,5.790903426273003,15,428.79552977002317,237.21079773531213,compressed_air,7.71369850126402,2.0,1,147,7.8391342403060476,1,146
6,5.905149135696917,15,430.9596832870337,236.97972608242335,dry_tissue,7.8439861309607055,2.0,1,148,7.8391342403060476,1,146
6,5.925058791078292,15,428.36646573530356,235.99883420441944,dry_tissue,7.838069891571913,2.0,1,149,7.8391342403060476,1,146
6,5.89078236575767,15,429.34540820454976,237.8997946398814,dry_tissue,7.840480385712609,2.0,1,150,7.8391342403060476,1,146
6,5.803002110165507,15,430.34798407475404,237.47741477521805,dry_tissue,7.843154146518274,2.0,1,151,7.8391342403060476,1,146
6,5.8912968164811925,15,429.67916084622493,238.61315900437518,dry_tissue,7.841224547797129,2.0,1,152,7.8391342403060476,1,146
6,5.87027084753965,15,428.3628761700273,238.36462350312613,dry_tissue,7.838339414047564,2.0,1,153,7.8391342403060476,1,146
6,6.087795577981711,15,429.7688612339759,237.13536762501707,degreasing,7.717357621377957,1.0,1,154,7.8391342403060476,1,146
6,6.006095309255412,15,428.23417556710046,238.28450614055902,dry_tissue,7.837301806237133,1.0,1,155,7.8391342403060476,1,146
6,5.911708939776742,15,429.2147795286388,236.36164178730095,dry_tissue,7.840074476560424,2.0,1,156,7.8391342403060476,1,146
6,5.878347231515352,15,430.033153258635,237.91412105651852,dry_tissue,7.842086621061286,2.0,1,157,7.8391342403060476,1,146
4,5.909871237392144,15,428.4172482604795,235.42354000958858,dry_tissue,5.592666084349947,2.0,1,158,7.8391342403060476,1,146
6,6.051502547146569,15,429.20933951774776,238.98055711376256,dry_tissue,7.839252542558929,1.0,1,159,7.839252542558929,1,159
6,6.089322824464286,15,428.44008904945235,237.7341464580512,dry_tissue,7.837269890481078,1.0,1,160,7.839252542558929,1,159
6,5.917503895369046,15,429.2057817033412,238.06232689996142,dry_tissue,7.84002325387987,2.0,1,161,7.839252542558929,1,159
6,5.849027983195088,15,429.0916783163424,236.1853164161875,dry_tissue,7.840115884511382,2.0,1,162,7.839252542558929,1,159
6,5.998273099657528,15,428.16352331891454,238.90181071665404,dry_tissue,7.837174839211006,1.0,1,163,7.839252542558929,1,159
6,6.047824473857922,15,430.2212983500471,237.23702255599233,dry_tissue,7.841552975770005,1.0,1,164,7.841552975770005,1,164
6,6.039490907073622,15,428.66531963706507,238.02152804013252,dry_tissue,7.838096618688346,1.0,1,165,7.841552975770005,1,164
6,6.013311655076229,15,429.94716211716786,240.15009388120743,dry_tissue,7.841128003350204,1.0,1,166,7.841552975770005,1,164
6,5.796091492839812,15,431.325903418709,240.04608272643583,dry_tissue,7.84531862241183,2.0,1,167,7.841552975770005,1,164
6,6.003520640624157,15,429.9389241118962,234.50841885299158,dry_tissue,7.84115420903067,1.0,1,168,7.841552975770005,1,164
6,5.999676573677639,15,429.9483566779527,236.7128455556301,dry_tissue,7.841232274077221,1.0,1,169,7.841552975770005,1,164
6,5.899175572159128,15,429.59664072339467,239.88412803962578,dry_tissue,7.840980270538666,2.0,1,170,7.841552975770005,1,164
3,5.890240424131283,15,431.5329654337218,240.7090420422798,dry_tissue,7.830105540476872,2.0,1,171,7.841552975770005,1,164
6,6.05147624834417,15,430.73013014741207,234.96222956917416,dry_tissue,7.842617300445302,1.0,1,172,7.842617300445302,1,172
6,5.8250739271726655,15,430.5164608407366,237.05806249600968,dry_tissue,7.84341876792564,2.0,1,173,7.842617300445302,1,172
6,6.019624932457707,15,431.40066050216916,236.75578919955723,dry_tissue,7.844299444608559,1.0,1,174,7.844299444608559,1,174
6,5.870893454427185,15,430.67496969248447,236.02417785487287,dry_tissue,7.843528949558562,2.0,1,175,7.844299444608559,1,174
6,5.848858248685724,15,430.8712770466759,236.05640096185815,dry_tissue,7.844068586885655,2.0,1,176,7.844299444608559,1,174
6,5.825989718473117,15,429.86595505116316,236.22348257306248,dry_tissue,7.841966880616759,2.0,1,177,7.844299444608559,1,174
6,5.853968855303262,15,433.3628325256553,238.60165965824294,dry_tissue,7.849375644904352,2.0,1,178,7.844299444608559,1,174
6,5.941449057464713,15,432.63006059928455,235.38513929589553,dry_tissue,7.847333195132389,1.0,1,179,7.847333195132389,1,179
6,5.988901688991294,15,431.0570382981427,236.9291981027896,dry_tissue,7.843736624725073,1.0,1,180,7.847333195132389,1,179
