scenario,plasma_distance,plasma_passes,plasma_power,plasma_speed,pretreatment,loss,c1,macrorep,iteration,cumulative_max_loss,c1_cumulative_max_loss,best_row_number
3,12.961073379762471,39,403.2696966661641,155.24818518698865,dry_tissue,5.609399307150384,1.0,1,23,6.0604144639911475,1,6
3,19.494063486179527,25,433.67609454276896,116.5952588198439,degreasing,5.526272792919209,1.0,1,24,6.0604144639911475,1,6
1,15.316816988087494,39,366.5104442619902,237.15840536270773,dry_tissue,5.1578740393252875,2.0,1,25,6.0604144639911475,1,6
3,11.611657660373396,47,316.28502010808734,151.940237793512,compressed_air,5.607994564732463,1.0,1,26,6.0604144639911475,1,6
2,15.725775961785898,29,472.3612454625859,62.28620092465225,degreasing,5.570215689412569,2.0,1,27,6.0604144639911475,1,6
3,6.23764189373534,18,351.32546054276816,112.20459721699264,dry_tissue,7.2599093002243,1.0,1,28,7.2599093002243,1,28
2,8.513780279638457,27,389.3104327888395,60.6856374540345,compressed_air,5.230876540401368,2.0,1,29,7.2599093002243,1,28
2,14.236901519961805,27,314.07585656230646,219.82174245328346,compressed_air,5.230876540401368,2.0,1,30,7.2599093002243,1,28
1,9.59643403005098,10,357.6440690531327,163.3069535250595,US_bath,5.1578740393252875,2.0,1,31,7.2599093002243,1,28
3,18.93582782408707,36,390.7411071586045,48.77039326417462,US_bath,5.11512623260019,1.0,1,32,7.2599093002243,1,28
3,18.11635079800432,5,441.66575919048057,158.7339453753499,degreasing,5.52714039717628,1.0,1,33,7.2599093002243,1,28
2,8.92301967434536,37,499.97798772583917,96.1637101430052,dry_tissue,5.482512240078982,2.0,1,34,7.2599093002243,1,28
1,6.048765692184578,29,302.4161190583812,32.53952940032518,degreasing,5.1578740393252875,2.0,1,35,7.2599093002243,1,28
2,16.2256511287057,33,436.57272032324965,244.42673783345148,US_bath,5.1578740393252875,2.0,1,36,7.2599093002243,1,28
3,11.167493276798378,22,482.79841951669675,103.1033020437215,US_bath,5.984207623489822,1.0,1,37,7.2599093002243,1,28
2,18.108769917594927,48,400.27980717805985,72.58478176289019,degreasing,5.570215689412569,2.0,1,38,7.2599093002243,1,28
3,4.163265727149705,34,376.89921020409344,122.78359414471825,US_bath,6.680258686926047,2.0,1,39,7.2599093002243,1,28
3,9.801460893631916,15,357.84516757492895,173.5915056653027,degreasing,7.153808633963764,1.0,1,40,7.2599093002243,1,28
2,12.39466703933739,25,439.8781540316313,136.42651808593516,dry_tissue,5.482512240078982,2.0,1,41,7.2599093002243,1,28
1,6.99370745271885,22,498.9391997987698,61.82086507703053,US_bath,5.1578740393252875,2.0,1,42,7.2599093002243,1,28
1,14.96806483379242,11,385.84785972232663,136.73793296223624,compressed_air,5.1578740393252875,2.0,1,43,7.2599093002243,1,28
3,8.851025020705713,1,379.509837125234,137.29681530449207,dry_tissue,6.370246681815264,1.0,1,44,7.2599093002243,1,28
2,7.963245575273543,21,420.834630150708,15.761079045260416,compressed_air,5.230876540401368,2.0,1,45,7.2599093002243,1,28
2,15.052114814049641,20,354.9107897336089,197.0983008139643,dry_tissue,5.482512240078982,2.0,1,46,7.2599093002243,1,28
3,19.770606143285562,26,331.2138931464573,163.12338809569812,degreasing,5.526224402385102,1.0,1,47,7.2599093002243,1,28
2,14.712103481569079,21,379.67981741947904,109.60062997424285,US_bath,5.1578740393252875,2.0,1,48,7.2599093002243,1,28
3,6.4921628970874234,40,396.2886584602875,132.01889464242112,US_bath,6.492265390674043,1.0,1,49,7.2599093002243,1,28
3,6.478620737464386,35,453.2727398509972,222.16241433633115,degreasing,7.539004055864557,1.0,1,50,7.539004055864557,1,50
